24
gunda vinod,1234567890,vinod@gmail.com
gunda anitha,0987654321,anitha@gmail.com
gunda tarun,4444444444,tarun@gmail.com
gunda sateesh,2222222222,sateesh@gmail.com
gunda tejavthi,3333333333,tejavathi@gmail.com
gunda karrenna,1231231234,karrenna@gmail.com
gunda lelavathi,1234123456,leelavathi@gmail.com
gunda prabhakarrao,1122334455,prabha@gmail.com
surapu sravani,1111111111,sravani@gmail.com
surapu sekhar,5555555555,sekhar@gmail.com
surapu chandu,6666666666,chandu@gmail.com
surapu sruthi,7777777777,sruthi@gmail.com
jyothi kiran,8888888888,jyothikiran@gmail.com
surapu siri,9999999999,siri@gmail.com
surapu jaswanth,1123456789,jaswanth@gmail.com
surapu vimala,1223456789,vimala@gmail.com
surapu rahul,1233456789,rahul@gmail.com
shalini devi,1234456789,shalini@gmail.com
pavan,1234556789,pavan@gamil.com
manikanta,1234566789,mani@gmail.com
karthik,1234567789,karthik@gmail.com
manoj,1234567889,manoj@gmail.com
krishana vamsi,1234567899,vamsi@gamil.com
krish,4545454545,krish@gmail.com
